"","D3.NONE.1","D3.NONE.2","D3.NONE.3","D7.NONE.1","D7.NONE.2","D7.NONE.3","D11.NONE.1","D11.NONE.2","D11.NONE.3","D3.1.1","D3.1.2","D3.1.3","D7.0.1.1","D7.0.1.2","D7.0.1.3","D7.1.1","D7.1.2","D7.1.3","D7.10.1","D7.10.2","D7.10.3","D11.1.1","D11.1.2","D11.1.3"
"BCL2L11",4.76935766111099,4.39790055527483,4.49548206161841,4.80326973374591,4.90567312594649,5.49051937005231,5.86711724531099,5.92064112895593,5.88546616674722,7.27951349865709,7.02541255299598,6.61759165200823,6.47548440533394,6.15069532000746,6.00773461584188,5.96984809154493,6.54617412168872,6.29090974033205,6.37759635029508,6.45872894989728,6.50821574780365,5.13796578985675,6.27390133675668,6.0938044158195
"USP17L19",4.47643332026503,3.79866218248585,3.94004399945908,4.78660260600236,4.08460403859469,4.04647501019166,4.30207422107169,4.10626256923047,3.84632921985109,4.98253922723808,4.76832631841135,5.89812956107052,4.34924254654705,3.92299894156322,3.85906423491201,4.3601706919285,3.83634651727827,4.30204524554149,4.57063103637437,4.38362378788313,4.57192681844217,6.00828460977401,4.54267791763765,4.06138885528007
"ERVMER34-1",3.38851596067679,3.28221664157809,3.21470976107289,3.89906025527767,3.68990347531666,3.30607593326583,3.2848523158978,3.31089612429393,3.363493152066,4.82815895364409,4.40280344325951,4.71813377286965,4.20964130326898,4.06392261826759,3.65707956495144,4.65728036684817,3.60332685401525,3.62980963005742,4.71034632123749,4.15200463700654,4.56662372761756,5.16219974550784,3.93461815728942,4.02034524665577
"CDH6",8.95308237933622,9.00399954765531,8.98102034754755,8.36383674912063,8.85558360945781,8.43161240310321,8.37186688307117,8.38421739711186,8.32445300673719,7.25369147104891,7.16221374325301,6.97772081611333,7.32719534235916,7.31851535198838,8.30102535009189,7.92751432829305,8.27023755747961,7.68626194469809,6.06740716556222,5.86823236007284,6.62354339585893,5.72970344835742,7.53996863975613,7.18483075911272
"SMC4",9.76754229980803,10.1058445139566,9.97954746415925,9.10365263449689,10.1487711160092,9.66063662957803,8.92184781725161,9.69246795130093,9.37560696874127,7.59842679900673,7.62968382034152,8.13513646282468,7.67695857369497,7.59854646141216,9.24773484606554,8.06701002706538,8.3799607525608,8.61118052774515,6.93919199198459,7.96106687466595,8.20836830006269,6.29680749795112,8.42802846810561,8.24917518110891
"PHOSPHO2-KLHL23",4.14510062114266,4.17365520873031,4.02595125065009,4.16129651798946,4.36704001862369,4.43954294528558,4.25032073360318,4.81782044503026,4.41503723978023,5.09061665145826,5.22067925621138,5.61273331434113,4.70235006280729,5.13770297063466,5.57781843781014,4.82463919296321,5.26307012378597,5.39286421946058,5.37876001227893,5.81981119920544,6.29493722917565,3.91698774423358,5.40732277869784,5.69236785453607
"BORCS7-ASMT",5.46458235720012,6.47101303268633,6.45937683379593,5.69092379566794,6.96273176255343,6.41142889060781,5.76982864759015,6.45181661631991,6.35033762847834,5.04892348741417,4.9222119027794,4.90787927139703,4.93520640775892,4.54162593408404,5.46648951888349,4.88394396623559,5.1489204914598,5.77528075399717,4.80679722033552,5.73514762848146,5.75663090003983,5.84597783255049,6.06728211862464,5.8075479147976
"SERF2-C15ORF63",7.50099078024157,7.55866859285333,7.72607224978329,8.30329301477982,7.70173987171896,7.90284782600268,8.30274128182895,7.84240865450657,7.70324945144411,8.73919481807953,8.64045802748413,8.62754645680465,8.57081881259849,8.11757203131334,8.23855191938095,8.55418915379807,8.69050212077077,7.99033936805104,8.54583401102614,8.23546633016206,8.34593252555552,9.75854544993243,8.54011137884977,8.35844179489049
"MICOS10-NBL1",7.531018373405,7.02802899617855,7.3775171666338,8.01862405564544,7.34611476482244,7.63745578659844,8.51327275204539,7.93125401752697,8.1405824157122,8.60526823319237,8.80527892229489,8.71512328394474,9.38720137159173,9.27406083631219,9.00038998428209,9.68667161794836,9.53923527018636,8.74109239453233,9.13716037836544,8.6740259321591,9.1214707000128,9.73028082649829,9.63943630991163,9.52686251616823
"ABCC9",8.25058721393326,8.64345860722477,9.00443708944229,7.8939390340927,8.90077252827571,9.05084614425681,7.66156678586516,8.30946990447281,8.65881077409324,9.62727716497541,9.70946096875285,10.2632873432988,8.57942442459148,8.25043006837943,9.08270294474191,8.05991914689846,8.39734747134967,9.07365682771922,8.72628137473987,9.21247000551997,9.81615759555261,7.42016677494774,9.71279198196313,9.48930894607612
"CDH11",8.75647213129302,8.80983079568725,8.86373657869104,8.77545282532092,8.94652981425374,9.51742428451128,9.95248477205376,9.88279137684615,10.1944657879601,10.240581328209,10.2937117821712,10.1669887043558,9.75434088380794,9.19424104060294,10.1398842073038,9.75493942160707,9.60127227229975,9.7044828924312,9.89779326943078,9.85436294305773,10.4572742491478,8.72515504522412,10.2874047940871,10.3067066475582
"UST",5.79206899634901,5.55163561654216,6.48980541374152,5.30118257855318,5.73913245484607,6.58086997856434,6.96380022276561,6.85539826764226,6.75297965237228,7.75810219248194,7.8617812453542,7.69941564875733,7.8857800872949,7.45428911426898,7.92596579520004,7.28616683539678,7.69688310861852,7.4046613607551,8.06521778204663,7.96372512397838,8.24654261382539,6.21637526720339,7.9016113050546,7.82732563173751
"KIF20A",8.35818009814448,8.72402012996401,8.30857298022533,8.29349930038982,8.96401890346353,8.22096544398643,7.66186326119817,7.72790221843296,7.54905647966501,3.52004049798604,3.90781200889013,3.47483783690399,5.18044703873354,4.88045467832634,6.96407805143897,5.36678587940795,6.29764010573638,5.57416525743282,3.38635112292305,3.54763934588477,4.46036152621398,3.63525009671192,4.57894294618363,4.08337607038439
"ARL4C",8.46053294462911,8.43389125263733,8.49909561912483,6.80448677050058,7.9218120795373,8.08733251456505,7.60261626547388,8.1543652843195,8.11350905675472,5.13012469767349,5.43572172592394,5.71770670453099,5.13898327357366,4.90322444757085,5.31921003046031,5.01611344160031,5.79656430071955,5.51722787425625,4.83581374217735,5.53514553657643,4.89918912384313,5.01157177268733,5.5091392719457,5.56934110796809
"RASGRP1",7.43886712926314,7.30033057420043,7.50974915277971,5.65540897081293,5.86682709508068,6.79922962395061,5.96423266603116,6.37914570456792,6.29779762824866,5.17499250758591,5.14800141787,5.12506547522162,4.4935418032008,3.95215648476365,5.41070148782286,4.46264773615711,4.3762218449607,4.43744857605735,4.49758026786441,4.22650589606448,4.71329430910535,3.07365783016762,3.52197717405712,4.08249869378786
"NAMPT",7.0605338022736,7.27210814317085,7.27360892924799,7.40930353626421,7.42803576766404,6.98773272944513,6.98262169776909,7.19554993056968,6.96865181289078,8.24175734471062,8.32393471468806,8.26180303212877,8.16542825805088,7.95044507786798,8.19048741156612,8.48575991061629,8.77093714197168,8.16212993014208,8.92670856174806,8.65905454743254,8.64190963721038,9.09519490926927,9.15321582330861,8.95295251693531
"AKAP9",6.31018707805115,7.01653682122459,7.32512002354816,6.61789478824475,7.19407035655877,7.32216675105506,6.46227593841683,7.52305214849207,7.34161913351205,7.90910958582706,7.66285312760262,8.33692128456848,7.64011575806459,7.50573051843669,8.64698258379031,7.60688178102746,7.62261038190731,8.57161976910656,7.59587987905383,8.37188944377881,8.71654724044725,6.5701874317718,8.3627298156732,8.37247065909409
"MBNL2",9.48368984088863,9.6263558340998,9.61910718679511,9.38564628243338,9.84746294199468,10.3099972013051,10.210527263218,10.3961280100804,10.4300856528483,11.1679429349924,11.1531504811969,11.0060704772191,10.9371390146126,10.1589661423308,11.1678934426614,10.6107984231231,10.6737216926211,10.9261142976965,10.318189867608,10.5568028691729,11.1818443985824,10.4263738300302,11.1239236430628,11.2868572838725
"PLXNC1",4.37702392919379,3.87551331555166,3.67573808289169,3.45185560111022,3.94764682344749,3.7701216245481,4.38509951232647,4.67241327954846,5.33536228219001,5.46356498259546,5.66332245678774,5.11156926411698,4.71663053421083,4.12363766701079,5.66926457662324,4.74126254721035,5.28131647025873,6.1826839155104,5.25606522338143,6.43070720768258,6.33401135178484,3.84271065054639,4.44135800137232,5.29705561176664
"CDK2",8.79406190011504,9.40435180606454,9.30387286912613,8.75969140370434,9.44073141212079,8.99490607761107,8.40624318025602,8.7943129211547,8.66819033390471,7.14345536794909,7.59716967438518,7.7299448048306,7.49248940097245,7.53433409977929,8.5727567691772,7.9701345393706,8.31503589323994,7.73068131467874,6.8219928859273,7.54961205992138,8.02370027630582,6.46734546378165,8.03812351047419,8.0677811093822
"ALG3",9.75997174004574,9.78925178235678,9.5084519244005,9.71368452039382,9.55295082092496,9.61011902583521,9.60988659786559,9.95538860010918,9.96705134072712,10.9403939813221,11.0639187587362,10.7269765323579,10.7641817497192,10.5116869178702,10.6291453411058,10.9995429810823,11.1669643140949,10.3832002809637,10.0786676844331,10.1741174626943,10.4538829180151,9.63000070336704,10.6320371728295,10.965349044134
"MPHOSPH6",5.63001577756558,6.12183074973271,6.13621232290435,4.98623435554017,6.57974536275185,6.32927168421762,6.29585588204954,6.64701745018035,6.56579837507573,7.16376914029448,7.05382135037817,7.51388977044891,6.52730976850379,6.4449347914392,7.03060298508636,5.98778653464904,6.77898498788388,7.0270424774665,6.39385078215532,7.34377283634746,7.54900381871932,5.67918163990161,7.98606248913578,7.36680007764465
"RCAN2",5.30655382068495,5.46767038209252,6.25004989132907,5.23409339568981,6.22845660498062,5.84789211447977,5.34451823008639,6.31462935719258,5.80392630490964,3.85229812118219,4.01890374745308,4.05410133532087,4.87024068897834,4.27416036874199,4.75769787017608,5.29691746410178,4.2950250517339,4.70287124931064,3.85673999588808,4.17633853027429,4.33870705051188,5.66970600598782,4.54257205674553,4.11630566730956
"LRRC17",8.95647343506903,9.56920678482034,9.80774632518216,8.76037969921472,10.1452175813965,10.2283377893008,8.7349098384183,9.83960500632272,9.64184499473986,5.69999503241378,6.11025174938185,6.06281695667879,6.4578617426747,5.94043701816793,7.3616231660072,6.4662307675683,6.48888150226631,7.19870252410622,5.26174535146763,5.3583918960285,5.29294094073054,5.43490017180005,6.47735601857015,6.22913628188206
"SPRY1",7.06960696383299,7.40337645212479,7.20774108377261,8.68334952074975,9.33782233941013,9.2396042286403,9.68476189029059,9.97998265581351,9.9591592536398,9.49654837673108,9.62347495754881,9.53467571044582,10.4095316778972,9.85114897273712,10.9949918200529,10.5408130809564,10.5937787042264,10.3171348097461,8.98950332487283,9.3133217603684,9.60808080630744,8.80116885715399,10.3552745642771,10.5170169934407
"RAMP1",8.27787626338427,7.77405766573672,7.29300770755811,8.63944448393226,7.70137505774771,8.03200370721181,8.86686803419717,8.2263926570561,8.20667887007999,8.82739761629951,9.15762977410362,8.61457504856297,9.12527569682642,9.46484166545741,8.26617767810694,8.90693304120193,8.82122090255581,8.15688684212309,9.12829855117563,8.17272840574326,8.51995217657975,9.23994594542467,8.27513765500253,8.46417734381446
"CDKN1C",6.92002623718121,6.65012128476811,6.71512695296977,6.49045079329801,6.51000422709649,7.2105951169156,7.2619082074652,6.85139736571564,7.07771881475792,7.91960881532348,7.74059044711959,7.8549496975554,8.07056010029524,7.63068303608587,7.30734610361323,8.38763296770089,7.74970227702354,7.52297302174158,8.97808261839535,8.19853895204061,8.4606011571162,9.39799075026245,8.36952431797798,8.42586898436622
"TRAIP",5.95753620180054,5.58280468142278,5.6637468994204,5.28196640899008,6.43260275197341,5.53875900388225,5.61508911092861,5.46400828081449,5.52795772179488,4.44544055452316,4.71209550394024,4.92898447719273,4.69509423462397,4.48858911926135,5.10426792553035,5.43207356613219,4.50243444278065,4.57752465008002,4.74071548478374,4.50740121599353,4.7916904225123,4.90936163822759,4.66872771096017,4.96188296957686
"CDKN2C",6.7244924245283,7.07939082721653,6.98660312751599,6.57532691205247,7.54472388371366,7.58120819314169,7.06859625069866,7.42199394292138,7.45450886177678,5.43112421010798,5.72578524578372,5.7682119964467,5.48849307851273,5.5733738337707,6.16609893552646,5.67725165990941,5.87657988211535,6.05733131284445,5.37855906723709,5.56299135829168,5.64289027088224,6.11890478472487,5.77221392485872,5.81051701890474
