"","D3.NONE.1","D3.NONE.2","D3.NONE.3","D7.NONE.1","D7.NONE.2","D7.NONE.3","D11.NONE.1","D11.NONE.2","D11.NONE.3","D3.1.1","D3.1.2","D3.1.3","D7.0.1.1","D7.0.1.2","D7.0.1.3","D7.1.1","D7.1.2","D7.1.3","D7.10.1","D7.10.2","D7.10.3","D11.1.1","D11.1.2","D11.1.3"
"TC1800008358.hg.1",10.1772413554348,10.1390640822015,10.4135814142433,9.25708414364429,9.16333345133904,9.83969352917602,9.42756174292901,9.56060941152561,9.3537411076634,10.6077060050766,10.4881950084165,10.6138010168159,10.5033545522559,10.1306939473193,11.1537388291607,10.642086329217,10.7332924654424,10.2833479846122,9.90506889852498,9.52695663092522,10.2412132962103,9.48437031228949,10.5271212335889,10.4360733463615
"TC1000010101.hg.1",9.23327169970153,9.34202797530219,9.42860118704254,8.69398215763887,9.43033189939219,9.30987793914395,8.87822995645511,9.36427930261685,9.28021843840938,9.15268365678634,9.32210091619873,9.47033780434058,8.61275815676449,8.20839191478768,9.06170746853257,8.6572553325442,8.80456609119501,9.17343075469446,8.37557825597113,8.94991155213616,9.54133373351777,7.43775177764008,9.4192327426219,9.27649799748744
"TC0500012302.hg.1",6.45395259966471,7.0359482073226,6.54414525907746,6.29001618681787,6.30816045288956,6.84652837592686,6.67685014465554,6.70682018237544,6.65566562050064,6.4192804813503,6.65901269033667,6.07970559368044,5.68807122910479,5.09633273502589,6.33219795083297,5.17096894913477,6.01074529776869,5.39481818663585,5.49249908159843,5.74185253790073,6.15792202037145,5.57267839783751,6.49993360031938,6.57598335111984
"TC0200009806.hg.1",8.23986014592887,8.67107466269669,8.64790887862969,7.48402338328276,8.85506291172721,8.81430912153533,8.36691234164034,8.73996034316192,8.79342646603165,9.0787165621744,8.72331801984064,9.43314145386097,8.55207621951309,8.17629896343938,9.05126463966165,8.44325615697328,8.23892467043215,9.0670205561103,7.93208744499243,9.08499614078723,9.4446261069574,6.2856631086706,9.39569383491971,9.19713859427837
"TC0700011550.hg.1",10.943581678783,10.0988738334041,10.1292312146048,11.2090215583804,9.97894533207521,9.97544701606,10.998715077796,9.97764925470483,10.3955092292722,11.186348585183,11.1652103953758,10.231144787978,10.8020698519097,10.3603232378743,10.1629037058566,11.1234195024288,11.2192063587419,10.2260406277119,10.7206896288592,9.67415385369075,10.1697264598551,11.1144710350304,10.0679051906765,10.346291367581
"TC1200006838.hg.1",6.9020085086958,6.73526740766397,6.33329288154499,7.18277352332036,6.40208942893867,6.75578876149018,7.00908250279622,6.81286778492631,6.61092406832017,7.34040104797895,7.27786075157871,6.37328850115945,7.2383573267912,6.72013896925949,6.91725646222419,7.19583351418283,7.32838548746747,6.84180404806396,6.5306426388833,6.36688727188292,6.26450846520931,8.09817028166976,6.41117690351682,6.49884076685468
"TC1900011697.hg.1",5.06190370710044,4.4612730458913,5.21284974398105,4.49907961362054,5.02075071803855,5.26188206693997,4.93252437814363,5.2447189593685,4.74528907986783,3.8928054878052,4.41197438283379,4.28330050723631,4.52849745625601,4.40953827324623,5.14344964503988,4.31991350855074,4.83864642515682,5.04273499337348,4.0666030678922,4.35110627260671,4.21425607812335,3.73618452817108,4.84559392943016,4.78635789351992
"TC1100011202.hg.1",5.23552580231423,4.83855397127929,4.32998842665341,5.43733955248956,4.46109110340408,4.89310666175372,5.34102577042757,4.52092035511807,4.572826208574,5.06860664339265,5.22216921601114,5.01262467737382,5.3460671502411,5.74018295092093,4.94903031972077,5.48975823614835,5.68498844211432,4.77372597057945,5.45643002978182,4.59396453387591,4.97133828683204,6.22703615054056,4.70562289430986,5.08844726552021
"TC1700012039.hg.1",6.96637026202399,6.62149536406674,6.19378834865199,6.92748160840607,6.13834349077519,6.59294336123377,6.53627800960994,6.28810932330136,6.57634835101355,6.95075571031573,6.21722791046459,6.02256381409262,7.18348963616391,6.53817239201314,6.23414313707275,6.92265869564821,6.45978354022816,6.55299406128193,6.99989868691465,6.42205708407677,6.84260503771205,8.18313608609814,6.24383321217569,6.45460724565258
"TC0600014162.hg.1",3.37196859434243,3.99570184286538,4.65765283926891,3.22156901851573,4.49815184966328,3.64959277803728,3.11571660008132,4.07734632140583,3.76885468991449,3.33274454100089,3.36680064780809,4.22023553473714,3.21792831055305,3.30489671311021,4.24555642714107,3.01274757685033,3.46278499866672,3.57514208871497,3.23216492194149,3.80592734854802,3.49507184870391,2.63402153736319,5.07913577878506,3.928332382386
"TC0200015231.hg.1",5.21037155617923,5.4272121274184,5.75610462019493,4.05316739629588,5.95522192637925,5.91910169309943,5.07031548672932,5.56705866002232,5.45654263921148,4.31901876247381,4.93238567014218,5.26405321882001,4.47603845345435,4.07735337143173,4.72263436540842,4.64009684787534,4.20060748159473,5.20955434599496,4.47169379354375,4.68710736441298,5.49186951794595,5.14358922368068,5.15890647846731,4.68171058553223
"TC2100007534.hg.1",7.59094857762404,7.51449952713545,7.41401696995528,7.59116175952093,7.36515655172908,7.56864021913502,7.76653145463235,7.69608585085428,7.76187208909048,8.25944554515126,7.77032905752158,7.89310469747542,8.46632210143739,7.77101370283364,8.0538391209648,8.36708206931775,8.58304865100235,7.90166359286982,8.13754695617588,7.45818326375863,8.22510052055806,8.35915501542045,8.38125138216398,8.4007006313917
"TC0100018478.hg.1",9.02777400343009,8.97592842452007,9.31121889403599,8.91511990508899,9.05911780729426,8.76036451830451,9.29393940306034,9.15015342906769,9.10937514566116,8.47236123256707,8.1777942078009,8.92218584524455,8.49643597524763,8.26184055078244,8.58373220978817,8.24051752169122,8.25814092368774,8.4933373710593,8.04305207592803,8.1079978768776,8.85567678978751,7.68077110380655,8.48616021418447,8.61492598929775
"TC1700010811.hg.1",7.72803157109858,7.60653285876164,7.71067213515708,7.71339831577826,7.55637709023742,7.39459195028363,7.79410243796548,7.39495159313827,7.48312181677234,6.52256769779595,7.05983253525968,6.9341481068838,6.8589215924868,7.07083833307597,6.7112221292926,7.30274428632411,7.07603755684876,6.70038895512816,7.22967546004378,6.72082874820221,7.06770108239278,7.22381881973732,6.73572968863704,6.45919462388886
"TC0300007004.hg.1",9.68375488000203,9.93556491987361,10.1838893382731,9.12920243763729,10.1632812889218,10.04278117912,9.09395255403623,9.91097372199894,9.84557542284419,9.48563814202557,9.47158464025821,9.50180629490949,9.03055000402277,8.64104817066211,9.59209228800179,8.93189334557161,9.15028925132727,9.48844225133917,8.59079049158251,9.40133691554903,9.60713556158629,7.08231972204448,9.67034764637156,9.72757317791379
"TC0200008870.hg.1",4.76935766111099,4.39790055527483,4.49548206161841,4.80326973374591,4.90567312594649,5.49051937005231,5.86711724531099,5.92064112895593,5.88546616674722,7.27951349865709,7.02541255299598,6.61759165200823,6.47548440533394,6.15069532000746,6.00773461584188,5.96984809154493,6.54617412168872,6.29090974033205,6.37759635029508,6.45872894989728,6.50821574780365,5.13796578985675,6.27390133675668,6.0938044158195
"TC1200008873.hg.1",7.78872070316371,7.12024220545606,6.89859337417654,8.8141853806862,7.77976029428248,7.23353902045294,7.95622807446901,7.68382833024731,7.77994509703957,6.56147468969625,6.76142108369737,6.30853392040331,6.89370248561467,6.58091597122143,6.64180372305542,6.84258726700349,6.96727855105907,6.33299196174694,6.85124248332318,5.79748496639619,5.87959221470271,7.48828247162046,6.66450682088737,6.69586553148217
"TC0100014638.hg.1",8.14050412596052,8.75531459293812,8.78143289257254,8.46191677567619,9.15945166806139,9.07861049005272,8.42843716226452,8.9760742786786,9.06373269540678,7.96813679450243,8.17992797687281,8.57080960647765,7.57042191650345,7.66635506809055,8.47129557143373,7.62847129118583,8.12508836766179,8.56221188321748,7.00622224979253,8.42959722856902,8.729967211589,6.25040521125672,9.19100323659088,8.90703355199331
"TC0400006789.hg.1",3.04190304387157,3.34786168723072,4.21038164985644,3.47441312155463,3.32532224092447,2.85870901934087,2.75558334390471,3.15507359383878,2.98306873023154,3.89531871347631,3.79335928556413,5.17460842953839,3.27115459758733,3.48323178421002,3.07637007798006,3.49513219423817,3.50715921666988,4.45218609742847,3.76289146181029,2.7075035109849,3.57673260635765,4.88723981971756,3.53812609913915,3.01220317879082
"TC0400006798.hg.1",3.11920722391488,3.18614052895981,4.07975995350544,3.27511152221394,3.34481379327536,3.32532647428411,2.63235716808223,3.09322679643648,2.79816229213475,3.7273678219047,3.90811728903073,5.04451610690714,2.71425080730361,3.33061247972723,2.87063779828361,3.26685985243824,3.19855456764743,4.05437405745568,3.60668939810553,2.75120887328762,3.56256596171092,4.26856930035385,3.3406940941266,2.59140512107358
"TC0400006802.hg.1",4.47643332026503,3.79866218248585,3.94004399945908,4.78660260600236,4.08460403859469,4.04647501019166,4.30207422107169,4.10626256923047,3.84632921985109,4.98253922723808,4.76832631841135,5.89812956107052,4.34924254654705,3.92299894156322,3.85906423491201,4.3601706919285,3.83634651727827,4.30204524554149,4.57063103637437,4.38362378788313,4.57192681844217,6.00828460977401,4.54267791763765,4.06138885528007
"TC0100015580.hg.1",8.71541551962463,8.53966641068488,9.11754452670518,8.94197112885825,8.93153082312719,8.99947241571573,8.91710786030962,9.12980343300207,8.99229968477081,8.14027052475822,7.98265275860618,8.56310726534006,8.07645453105664,7.77527424999936,8.27228025978257,8.08913682228324,7.61917170981691,8.29071814249316,7.48347434632389,7.82371596569796,8.03300949422163,7.35792477052909,8.35875791669449,8.31194465789688
"TC0400010694.hg.1",3.38851596067679,3.28221664157809,3.21470976107289,3.89906025527767,3.68990347531666,3.30607593326583,3.2848523158978,3.31089612429393,3.363493152066,4.82815895364409,4.40280344325951,4.71813377286965,4.20964130326898,4.06392261826759,3.65707956495144,4.65728036684817,3.60332685401525,3.62980963005742,4.71034632123749,4.15200463700654,4.56662372761756,5.16219974550784,3.93461815728942,4.02034524665577
"TC0400006793.hg.1",4.8390902440407,4.40692587630623,5.59947255016672,5.43174412545635,5.03015801782205,5.18227674229061,4.54209160894924,4.54627155363937,4.1565984045268,5.77852244929623,4.86741221703511,6.45409616089519,4.76960565332235,4.98925883346855,3.8536110476179,4.24386445095381,4.2475963192952,6.4955471258004,5.14845133937999,5.50844085272,5.32329427292942,6.01705808625955,4.20942523991904,4.60504130595884
