"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006486.hg.1","AGRN","375790","agrin",-0.282396208179027,7.55398110485356,-0.71919468180438,0.479981166392208,0.67811723026617,-6.73679114101166
"2","TC0100006683.hg.1","HES3","390992","hes family bHLH transcription factor 3",-0.024722792515484,5.56327776218568,-0.0599086211167252,0.952797228681629,0.978148817914843,-7.00041819277112
"3","TC0100006725.hg.1","PER3","8863","period circadian regulator 3",-0.644642862436362,6.92488269194594,-2.43078464800645,0.0241521147374787,0.0758623738874502,-4.30094596050968
"4","TC0100006729.hg.1","PARK7","11315","Parkinsonism associated deglycase",-0.399732394929691,10.0095415300691,-1.08655396845702,0.289599784565541,0.494572448922228,-6.4056018859444
"5","TC0100006773.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",1.27447647596854,8.75438891972164,4.00096743013064,0.000652592669789642,0.00402867208150139,-0.842421727740819
"6","TC0100006787.hg.1","PIK3CD","5293","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",-0.602110791372783,7.24356456086624,-1.68451274633407,0.10695006659106,0.245138023919113,-5.6202748640876
"7","TC0100006818.hg.1","PGD","5226","phosphogluconate dehydrogenase",0.429100212676513,8.75140584918499,1.53143260461456,0.140650696072752,0.299821695587865,-5.84767526742765
"8","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",0.612193160949355,7.44542683283877,2.17361898763058,0.0413677680040474,0.116504115485851,-4.79061962474772
"9","TC0100006931.hg.1","PDPN","10630","podoplanin",2.14382527520733,7.81082235106982,6.01374368768026,5.82999480132067e-06,8.38288072363811e-05,3.84590463535164
"10","TC0100006954.hg.1","KAZN","23254","kazrin, periplakin interacting protein",-0.768393614455291,7.67414574371428,-2.53504664469988,0.0192960423935275,0.0632276548351253,-4.09366054361631
"11","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",0.0622296369488788,7.21997767918669,0.267638314449473,0.791599622922337,0.893353100708541,-6.96512394810921
"12","TC0100006999.hg.1","FBLIM1","54751","filamin binding LIM protein 1",-0.0873733892616997,7.2600829680634,-0.183032449298817,0.856535412631043,0.929609096642627,-6.98488813367019
"13","TC0100007184.hg.1","OTUD3","23252","OTU deubiquitinase 3",-0.557300932323089,5.0623864816418,-1.701824672597,0.103609519236121,0.239275508559335,-5.59351296068553
"14","TC0100007206.hg.1","CDA","978","cytidine deaminase",-1.103514813831,7.08267452938526,-3.1438609163622,0.00491825129771084,0.0211042664582032,-2.80359444581523
"15","TC0100007240.hg.1","NBPF3","84224","NBPF member 3",-0.539677649998742,8.55737775562176,-2.12893246241161,0.0453102766688063,0.125545530207405,-4.87228030771122
"16","TC0100007268.hg.1","CDC42","998","cell division cycle 42",-0.368268632360277,10.0115494452557,-0.668274173877185,0.511267789269262,0.701175907676743,-6.77267167478442
"17","TC0100007326.hg.1","RPL11","6135","ribosomal protein L11",-0.316541813421352,10.8077681591099,-0.849064406568756,0.405460372232443,0.612933361160852,-6.63401955133665
"18","TC0100007344.hg.1","PNRC2","55629","proline rich nuclear receptor coactivator 2",0.016240548921159,8.9905333165878,0.0444003553914255,0.965006510586831,0.983053937077454,-7.0012587064311
"19","TC0100007370.hg.1","RCAN3","11123","RCAN family member 3",-1.03574387453217,5.96109926403574,-3.95150771744608,0.000734267715221036,0.00447912980431277,-0.958108562485238
"20","TC0100007378.hg.1","CLIC4","25932","chloride intracellular channel 4",-0.440202418774692,10.5210587662026,-1.82997727189566,0.0815456550628202,0.198713885758346,-5.38910803002587
"21","TC0100007398.hg.1","TMEM50A","23585","transmembrane protein 50A",0.249093872327775,10.9962314992098,0.505719346161349,0.618342775656044,0.782358039215936,-6.87019201530406
"22","TC0100007403.hg.1","MACO1","55219","macoilin 1",1.03283968021854,7.84360909206925,3.0268680776712,0.00643538403895726,0.025797253766556,-3.06043391144138
"23","TC0100007406.hg.1","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",-0.550520822154767,7.21739859759641,-1.5929937225995,0.126164832378107,0.278428586230046,-5.75825576465937
"24","TC0100007412.hg.1","MAN1C1","57134","mannosidase alpha class 1C member 1",-0.427535638990812,4.89518692582625,-1.46613352976414,0.157487927151087,0.325231535552868,-5.93944247304055
"25","TC0100007449.hg.1","SH3BGRL3","83442","SH3 domain binding glutamate rich protein like 3",-0.682584685188356,10.775993739495,-2.48807996106822,0.0213581481400287,0.0688636670531566,-4.1876169617757
"26","TC0100007463.hg.1","HMGN2","3151","high mobility group nucleosomal binding domain 2",-1.33975621312349,9.42312069314428,-3.47924228274255,0.00224971362851629,0.0110928371672316,-2.04994423307835
"27","TC0100007493.hg.1","TRNP1","388610","TMF1 regulated nuclear protein 1",-0.611897103889126,6.88172583038334,-1.38111642787553,0.181824305305613,0.359609796482268,-6.05402178687048
"28","TC0100007512.hg.1","GPR3","2827","G protein-coupled receptor 3",0.577041038029889,5.97637591101662,1.47200027958771,0.155910967837557,0.323272629237748,-5.93132968520804
"29","TC0100007562.hg.1","TRNAU1AP","54952","tRNA selenocysteine 1 associated protein 1",-0.349969473048729,4.96500292749244,-1.15609911855968,0.260677834740235,0.462984827625066,-6.32919082978689
"30","TC0100007574.hg.1","EPB41","2035","erythrocyte membrane protein band 4.1",0.682684530094321,3.70775945013166,2.26108674279088,0.0345399781009784,0.10089596126658,-4.62773656766337
"31","TC0100007634.hg.1","ZCCHC17","51538","zinc finger CCHC-type containing 17",0.326917890377845,7.50278273716657,0.657091632984679,0.518288877994638,0.706988471819264,-6.78021381094894
"32","TC0100007638.hg.1","SERINC2","347735","serine incorporator 2",1.6434930544815,9.01810562409615,5.23051336758998,3.53000376275999e-05,0.000376587959022552,2.0467560140523
"33","TC0100007660.hg.1","TMEM39B","55116","transmembrane protein 39B",-0.154656025198689,6.66469208416638,-0.563877453720447,0.57883498135175,0.753330288128737,-6.83830720824156
"34","TC0100007662.hg.1","KPNA6","23633","karyopherin subunit alpha 6",-0.322437299117997,9.04050619452178,-0.64931909250781,0.523200304233872,0.709554015407976,-6.78538412596014
"35","TC0100007678.hg.1","HDAC1","3065","histone deacetylase 1",-0.21004045943099,8.57276993490509,-0.470583154164779,0.642809508701165,0.7943885152857,-6.8878154317925
"36","TC0100007716.hg.1","ZNF362","149076","zinc finger protein 362",0.216759096817581,7.71081073930697,0.519766692640808,0.608684583870923,0.775085154929146,-6.86279985967114
"37","TC0100007745.hg.1","GJB5","2709","gap junction protein beta 5",-0.0721012406620405,5.26498941975325,-0.230025471687166,0.820307053497425,0.90857769502406,-6.97482209008622
"38","TC0100007784.hg.1","AGO4","192670","argonaute RISC component 4",-0.724580020301874,5.59174129192481,-1.89261259810922,0.0723340877523483,0.180737628868523,-5.28530429922602
"39","TC0100007841.hg.1","CDCA8","55143","cell division cycle associated 8",-2.24266569520652,5.09423876078429,-7.63706546065159,1.7672230718168e-07,4.74884808228795e-06,7.34747485399951
"40","TC0100007858.hg.1","UTP11","51118","UTP11 small subunit processome component",-0.00697677006881925,7.56087856493673,-0.0151668055198896,0.988042869508216,0.993406837312278,-7.00216357077012
"41","TC0100007943.hg.1","RLF","6018","rearranged L-myc fusion",0.195536567650791,7.35220331530383,0.52106927048421,0.607792662996377,0.775085154929146,-6.86210440297313
"42","TC0100007949.hg.1","ZMPSTE24","10269","zinc metallopeptidase STE24",0.563150275306299,8.98234618009103,1.51300054000912,0.145246128926767,0.30721314615392,-5.87390361095539
"43","TC0100007954.hg.1","SMAP2","64744","small ArfGAP2",-0.185527645666022,8.43348650354516,-0.522149311743484,0.607053595397408,0.774499351526592,-6.86152647445816
"44","TC0100008012.hg.1","GUCA2B","2981","guanylate cyclase activator 2B",0.131604587633356,4.59809605124207,0.441825616631572,0.663150399020186,0.807783832534454,-6.90131497926013
"45","TC0100008033.hg.1","ERMAP","114625","erythroblast membrane associated protein (Scianna blood group)",-0.618848110606242,6.50525180218135,-0.931303370196212,0.362324087502962,0.571570877389681,-6.56073924133748
"46","TC0100008057.hg.1","CDC20","991","cell division cycle 20",-4.20682228240768,6.90038517139317,-12.74221519008,2.5307538757164e-11,6.16704760240365e-09,16.1108245831085
"47","TC0100008081.hg.1","ATP6V0B","533","ATPase H+ transporting V0 subunit b",0.556389667263639,8.06381508908425,2.17613547322623,0.041155295215739,0.116117621480117,-4.78598914336312
"48","TC0100008101.hg.1","KIF2C","11004","kinesin family member 2C",-3.94067651717639,4.81807470843553,-8.93663657963531,1.38374423975549e-08,6.60488229903907e-07,9.89280808699739
"49","TC0100008132.hg.1","TMEM69","51249","transmembrane protein 69",-0.166274031184018,7.44735531615833,-0.378864879148856,0.708607407135846,0.83695211608137,-6.92794893877117
"50","TC0100008150.hg.1","RAD54L","8438","RAD54 like",-0.958156592430854,3.87797483024265,-2.93797629113251,0.00788048350375179,0.030354940617613,-3.25307533532945
"51","TC0100008193.hg.1","FOXE3","2301","forkhead box E3",0.0149095572554128,6.10672626791815,0.0324239917365281,0.974441400739643,0.987667181572799,-7.00173679710529
"52","TC0100008260.hg.1","CDKN2C","1031","cyclin dependent kinase inhibitor 2C",-1.28845497564081,6.27029879181176,-4.78405139965788,0.000101011307449393,0.000867685256940058,1.00061716368626
"53","TC0100008308.hg.1","ZFYVE9","9372","zinc finger FYVE-type containing 9",-1.37186343131632,6.36261358622962,-2.3013568311026,0.0317573653852418,0.0946790738787313,-4.55143914966606
"54","TC0100008321.hg.1","GPX7","2882","glutathione peroxidase 7",0.786322638886478,7.62449754578786,3.74082517010192,0.00121212362661768,0.00674535143177866,-1.44848718231224
"55","TC0100008332.hg.1","ZYG11B","79699","zyg-11 family member B, cell cycle regulator",-0.185778673561886,8.57209239496102,-0.428014036713207,0.6730165029593,0.814232142331215,-6.90750165363208
"56","TC0100008341.hg.1","PODN","127435","podocan",-0.379913081083838,7.28546049650071,-1.27299907466604,0.216988525625313,0.409228869101915,-6.1914488668974
"57","TC0100008496.hg.1","FGGY","55277","FGGY carbohydrate kinase domain containing",-0.127173855591537,5.08481374976119,-0.324169569412012,0.749029608575983,0.86635200792076,-6.94781217401594
"58","TC0100008554.hg.1","USP1","7398","ubiquitin specific peptidase 1",-1.38192736203924,6.71778213641193,-2.76029630986183,0.0117548561804678,0.0421114271574328,-3.63083776827278
"59","TC0100008564.hg.1","ATG4C","84938","autophagy related 4C cysteine peptidase",-0.606492144333828,5.4345345507699,-1.10366148623682,0.282278162805545,0.487485227075596,-6.38719537457041
"60","TC0100008584.hg.1","ALG6","29929","ALG6 alpha-1,3-glucosyltransferase",-0.667442180691495,3.61360008859504,-1.34534798333054,0.192920449798239,0.375700505290906,-6.10052957210044
