"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006486.hg.1","AGRN","375790","agrin",0.0721952250007538,7.55398110485356,0.183863736014813,0.855891465604695,0.999835965442287,-6.56107596551712
"2","TC0100006683.hg.1","HES3","390992","hes family bHLH transcription factor 3",0.00467397796258773,5.56327776218568,0.011326049623772,0.991070666820625,0.999835965442287,-6.57837153507596
"3","TC0100006725.hg.1","PER3","8863","period circadian regulator 3",0.28558364053778,6.92488269194594,1.07686343802427,0.293807509872456,0.917530086889114,-5.99864009723666
"4","TC0100006729.hg.1","PARK7","11315","Parkinsonism associated deglycase",-0.238887479325291,10.0095415300691,-0.649344766568751,0.52318403882721,0.999835965442287,-6.36391201371883
"5","TC0100006773.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",0.208684779556714,8.75438891972164,0.655124689952314,0.519529357405964,0.999835965442287,-6.3601154093326
"6","TC0100006787.hg.1","PIK3CD","5293","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",-0.409521229403672,7.24356456086624,-1.14570896371426,0.264857583817783,0.875398052317171,-5.92446479804584
"7","TC0100006818.hg.1","PGD","5226","phosphogluconate dehydrogenase",-0.398762305218163,8.75140584918499,-1.42315845497549,0.16943810384396,0.722374236461818,-5.58568893057661
"8","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",-0.0487393724890008,7.44542683283877,-0.17305130511913,0.864275071037291,0.999835965442287,-6.56305642877922
"9","TC0100006931.hg.1","PDPN","10630","podoplanin",0.687293399519292,7.81082235106982,1.92795858447173,0.0675497458519941,0.445811655008534,-4.82282275949788
"10","TC0100006954.hg.1","KAZN","23254","kazrin, periplakin interacting protein",0.102504803035968,7.67414574371428,0.338178834536727,0.738599882995753,0.999835965442287,-6.51981850052086
"11","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",0.428358092986838,7.21997767918669,1.84229000214107,0.0796580315012293,0.487852759061761,-4.96425955032436
"12","TC0100006999.hg.1","FBLIM1","54751","filamin binding LIM protein 1",0.0775841082418047,7.2600829680634,0.162525563883406,0.872452176531098,0.999835965442287,-6.56486944376061
"13","TC0100007184.hg.1","OTUD3","23252","OTU deubiquitinase 3",0.409114919569492,5.0623864816418,1.24931042399058,0.225354349722845,0.814737934455475,-5.80528256801806
"14","TC0100007206.hg.1","CDA","978","cytidine deaminase",-1.81099297005272,7.08267452938526,-5.15943234018729,4.16901594084542e-05,0.00286599279542825,2.15637679180842
"15","TC0100007240.hg.1","NBPF3","84224","NBPF member 3",0.0687439450899667,8.55737775562176,0.271182651897133,0.788909332913428,0.999835965442287,-6.54070636857097
"16","TC0100007268.hg.1","CDC42","998","cell division cycle 42",-0.352286081676944,10.0115494452557,-0.639271633568768,0.529587040482231,0.999835965442287,-6.37045145261668
"17","TC0100007326.hg.1","RPL11","6135","ribosomal protein L11",-0.0568003009976366,10.8077681591099,-0.152356219035396,0.880366335332307,0.999835965442287,-6.56651331712187
"18","TC0100007344.hg.1","PNRC2","55629","proline rich nuclear receptor coactivator 2",0.359567215106816,8.9905333165878,0.983027865335752,0.336830684615006,0.955242371781302,-6.09309339081601
"19","TC0100007370.hg.1","RCAN3","11123","RCAN family member 3",-0.14338831103041,5.96109926403574,-0.547046457681585,0.590137301880423,0.999835965442287,-6.42573244166795
"20","TC0100007378.hg.1","CLIC4","25932","chloride intracellular channel 4",-0.316119183234127,10.5210587662026,-1.3141475281733,0.203029411897996,0.783432646183069,-5.72619733954005
"21","TC0100007398.hg.1","TMEM50A","23585","transmembrane protein 50A",-0.225758025074686,10.9962314992098,-0.458342069054251,0.651434036841734,0.999835965442287,-6.47100920754878
"22","TC0100007403.hg.1","MACO1","55219","macoilin 1",0.341708341799201,7.84360909206925,1.001419766761,0.328071081068822,0.949720972964809,-6.07519344594448
"23","TC0100007406.hg.1","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",0.130578802797588,7.21739859759641,0.377844406224182,0.709354012678353,0.999835965442287,-6.50531138053198
"24","TC0100007412.hg.1","MAN1C1","57134","mannosidase alpha class 1C member 1",0.950018802522787,4.89518692582625,3.25786739924848,0.00377647163684885,0.0747224943530349,-2.18599584907733
"25","TC0100007449.hg.1","SH3BGRL3","83442","SH3 domain binding glutamate rich protein like 3",-0.626979539011453,10.775993739495,-2.28539441459006,0.0328347526578286,0.288472305134243,-4.18745274212328
"26","TC0100007463.hg.1","HMGN2","3151","high mobility group nucleosomal binding domain 2",-0.253783502796486,9.42312069314428,-0.659055942374388,0.517051701084805,0.999835965442287,-6.35751468957062
"27","TC0100007493.hg.1","TRNP1","388610","TMF1 regulated nuclear protein 1",-0.231745344924545,6.88172583038334,-0.523073734006374,0.606421359489393,0.999835965442287,-6.4387365922756
"28","TC0100007512.hg.1","GPR3","2827","G protein-coupled receptor 3",-0.099509187814804,5.97637591101662,-0.253842521816187,0.802096253713448,0.999835965442287,-6.54537003674424
"29","TC0100007562.hg.1","TRNAU1AP","54952","tRNA selenocysteine 1 associated protein 1",-0.173273657680168,4.96500292749244,-0.572397132722952,0.573155727039766,0.999835965442287,-6.41136564072494
"30","TC0100007574.hg.1","EPB41","2035","erythrocyte membrane protein band 4.1",0.525804106029365,3.70775945013166,1.74149060223139,0.0962896229674004,0.541702253145885,-5.12473971178897
"31","TC0100007634.hg.1","ZCCHC17","51538","zinc finger CCHC-type containing 17",-0.300588423250206,7.50278273716657,-0.604170477368139,0.552228926244189,0.999835965442287,-6.39246993834901
"32","TC0100007638.hg.1","SERINC2","347735","serine incorporator 2",-0.335671432657627,9.01810562409615,-1.06829408913305,0.297564910345368,0.921181101148422,-6.00758653695804
"33","TC0100007660.hg.1","TMEM39B","55116","transmembrane protein 39B",0.311363327645913,6.66469208416638,1.13523388532289,0.269121447749695,0.879345309160967,-5.93601283637073
"34","TC0100007662.hg.1","KPNA6","23633","karyopherin subunit alpha 6",-0.209648488648574,9.04050619452178,-0.422186784119876,0.677197435004523,0.999835965442287,-6.48721902837862
"35","TC0100007678.hg.1","HDAC1","3065","histone deacetylase 1",0.0453334973869968,8.57276993490509,0.101567004030968,0.920067899307114,0.999835965442287,-6.57313657924047
"36","TC0100007716.hg.1","ZNF362","149076","zinc finger protein 362",0.531241189139193,7.71081073930697,1.27386338071811,0.216687880417882,0.803898146101599,-5.77573511289964
"37","TC0100007745.hg.1","GJB5","2709","gap junction protein beta 5",-0.112694471310761,5.26498941975325,-0.359530552897148,0.722803211489028,0.999835965442287,-6.5122066586614
"38","TC0100007784.hg.1","AGO4","192670","argonaute RISC component 4",-0.302298719074402,5.59174129192481,-0.789608253170065,0.438618248597423,0.999835965442287,-6.26274872312407
"39","TC0100007841.hg.1","CDCA8","55143","cell division cycle associated 8",-0.584405222156771,5.09423876078429,-1.99010532274045,0.0598119665367955,0.414957423912971,-4.717445157579
"40","TC0100007858.hg.1","UTP11","51118","UTP11 small subunit processome component",-0.317344556965315,7.56087856493673,-0.689875562876765,0.497857326649503,0.999835965442287,-6.33661015729734
"41","TC0100007943.hg.1","RLF","6018","rearranged L-myc fusion",0.287719017647982,7.35220331530383,0.766718677899739,0.451817926190518,0.999835965442287,-6.28053372583086
"42","TC0100007949.hg.1","ZMPSTE24","10269","zinc metallopeptidase STE24",-0.0593061930034189,8.98234618009103,-0.159336336986168,0.874932717522641,0.999835965442287,-6.5653963821568
"43","TC0100007954.hg.1","SMAP2","64744","small ArfGAP2",-0.369046782511552,8.43348650354516,-1.03864587295221,0.310830023106716,0.930358079377409,-6.03804490030513
"44","TC0100008012.hg.1","GUCA2B","2981","guanylate cyclase activator 2B",-0.33116046332321,4.59809605124207,-1.11177868904845,0.278851663411364,0.895342026071163,-5.96153078360719
"45","TC0100008033.hg.1","ERMAP","114625","erythroblast membrane associated protein (Scianna blood group)",0.530108297665964,6.50525180218135,0.797758990815459,0.43397594150433,0.999835965442287,-6.25629678351181
