"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006486.hg.1","AGRN","375790","agrin",-0.0954347184546558,7.55398110485356,-0.243049091964345,0.810335433936197,0.999961860951797,-4.81750846176329
"2","TC0100006683.hg.1","HES3","390992","hes family bHLH transcription factor 3",-0.0664995723588522,5.56327776218568,-0.161142705961537,0.873527582536471,0.999961860951797,-4.82396791994017
"3","TC0100006725.hg.1","PER3","8863","period circadian regulator 3",-0.0879075317696172,6.92488269194594,-0.331476994660465,0.743583025731721,0.999961860951797,-4.80762800941785
"4","TC0100006729.hg.1","PARK7","11315","Parkinsonism associated deglycase",0.0948281188038038,10.0095415300691,0.257762118143338,0.799110003585694,0.999961860951797,-4.81607302296433
"5","TC0100006773.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",0.141134443956554,8.75438891972164,0.44306373965094,0.66226898399531,0.999961860951797,-4.79090828276963
"6","TC0100006787.hg.1","PIK3CD","5293","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",0.244541750856873,7.24356456086624,0.684149333032322,0.50139258690941,0.999961860951797,-4.7390556159331
"7","TC0100006818.hg.1","PGD","5226","phosphogluconate dehydrogenase",-0.314011327154303,8.75140584918499,-1.12068736023889,0.275126116096595,0.999961860951797,-4.59462138891802
"8","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",0.266817126405321,7.44542683283877,0.947346048884746,0.354281621158528,0.999961860951797,-4.65927869714085
"9","TC0100006931.hg.1","PDPN","10630","podoplanin",0.508307948435988,7.81082235106982,1.42587819616456,0.168660764436701,0.999961860951797,-4.4601642673768
"10","TC0100006954.hg.1","KAZN","23254","kazrin, periplakin interacting protein",-0.253213197126163,7.67414574371428,-0.835388599921479,0.412941748674517,0.999961860951797,-4.69603745624103
"11","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",-0.200554464182727,7.21997767918669,-0.862548158416493,0.398169699113841,0.999961860951797,-4.68749518834392
"12","TC0100006999.hg.1","FBLIM1","54751","filamin binding LIM protein 1",-0.0118242149156549,7.2600829680634,-0.0247697272056792,0.980473473730273,0.999961860951797,-4.82892600074476
"13","TC0100007184.hg.1","OTUD3","23252","OTU deubiquitinase 3",0.174825852640799,5.0623864816418,0.533864079845886,0.599065048280787,0.999961860951797,-4.77386361909203
"14","TC0100007206.hg.1","CDA","978","cytidine deaminase",0.123055149830012,7.08267452938526,0.350578235342943,0.729411473321697,0.999961860951797,-4.80510054563843
"15","TC0100007240.hg.1","NBPF3","84224","NBPF member 3",-0.208987417241705,8.55737775562176,-0.824418237076267,0.419006130882651,0.999961860951797,-4.6994185954302
"16","TC0100007268.hg.1","CDC42","998","cell division cycle 42",0.0349012061330853,10.0115494452557,0.0633330472552643,0.950102754699679,0.999961860951797,-4.82826101644941
"17","TC0100007326.hg.1","RPL11","6135","ribosomal protein L11",-0.0928502667248292,10.8077681591099,-0.249053531867932,0.805749085227455,0.999961860951797,-4.81693274197999
"18","TC0100007344.hg.1","PNRC2","55629","proline rich nuclear receptor coactivator 2",0.0980599743553956,8.9905333165878,0.268088088166845,0.791258078794906,0.999961860951797,-4.81501575276689
"19","TC0100007370.hg.1","RCAN3","11123","RCAN family member 3",-0.0643401493832947,5.96109926403574,-0.245466667079792,0.80848797590869,0.999961860951797,-4.81727833273466
"20","TC0100007378.hg.1","CLIC4","25932","chloride intracellular channel 4",0.204589883580507,10.5210587662026,0.850506087754441,0.404676789572736,0.999961860951797,-4.69131272331909
"21","TC0100007398.hg.1","TMEM50A","23585","transmembrane protein 50A",0.266382736046324,10.9962314992098,0.540819819625074,0.594346091353011,0.999961860951797,-4.77243257023261
"22","TC0100007403.hg.1","MACO1","55219","macoilin 1",0.060363837863294,7.84360909206925,0.176903906166216,0.861285954730617,0.999961860951797,-4.82292722143083
"23","TC0100007406.hg.1","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",-0.0531253224221384,7.21739859759641,-0.153724076772067,0.879301052045529,0.999961860951797,-4.8244243128045
"24","TC0100007412.hg.1","MAN1C1","57134","mannosidase alpha class 1C member 1",-0.0386407111067841,4.89518692582625,-0.132509285778637,0.895848180482445,0.999961860951797,-4.82561114470154
"25","TC0100007449.hg.1","SH3BGRL3","83442","SH3 domain binding glutamate rich protein like 3",0.431972571001154,10.775993739495,1.57457722237426,0.130361935142918,0.999961860951797,-4.38631349122436
"26","TC0100007463.hg.1","HMGN2","3151","high mobility group nucleosomal binding domain 2",0.297043774819652,9.42312069314428,0.771399491231714,0.449099197505005,0.999961860951797,-4.71519066845516
"27","TC0100007493.hg.1","TRNP1","388610","TMF1 regulated nuclear protein 1",0.028066479175477,6.88172583038334,0.0633490095238326,0.9500901963629,0.999961860951797,-4.82826062071874
"28","TC0100007512.hg.1","GPR3","2827","G protein-coupled receptor 3",0.22829229811353,5.97637591101662,0.582361226505055,0.56654979663754,0.999961860951797,-4.76351885594155
"29","TC0100007562.hg.1","TRNAU1AP","54952","tRNA selenocysteine 1 associated protein 1",-0.703860054991103,4.96500292749244,-2.32515133984638,0.0302115810229412,0.999961860951797,-3.95407366990578
"30","TC0100007574.hg.1","EPB41","2035","erythrocyte membrane protein band 4.1",0.394159172451726,3.70775945013166,1.30547572135096,0.205911413629092,0.999961860951797,-4.5161314487932
"31","TC0100007634.hg.1","ZCCHC17","51538","zinc finger CCHC-type containing 17",0.11048591412979,7.50278273716657,0.222072183487542,0.826412025690428,0.999961860951797,-4.8194104368885
"32","TC0100007638.hg.1","SERINC2","347735","serine incorporator 2",0.170237442490004,9.01810562409615,0.541790679419219,0.593688886970451,0.999961860951797,-4.77223142171148
"33","TC0100007660.hg.1","TMEM39B","55116","transmembrane protein 39B",0.0214858914865221,6.66469208416638,0.078337780676628,0.938304091508744,0.999961860951797,-4.82784504565093
"34","TC0100007662.hg.1","KPNA6","23633","karyopherin subunit alpha 6",0.0430616326560269,9.04050619452178,0.0867168293327124,0.931721539714556,0.999961860951797,-4.82757445221295
"35","TC0100007678.hg.1","HDAC1","3065","histone deacetylase 1",0.0888587223155497,8.57276993490509,0.199082681191917,0.844120930044162,0.999961860951797,-4.82129928110574
"36","TC0100007716.hg.1","ZNF362","149076","zinc finger protein 362",0.147886591762241,7.71081073930697,0.354617295489425,0.726427284439551,0.999961860951797,-4.804548306895
"37","TC0100007745.hg.1","GJB5","2709","gap junction protein beta 5",-0.192165338327977,5.26498941975325,-0.613067433860242,0.546442007737421,0.999961860951797,-4.75652866932426
"38","TC0100007784.hg.1","AGO4","192670","argonaute RISC component 4",0.239002715685489,5.59174129192481,0.62427825500932,0.539196230162122,0.999961860951797,-4.75389218116417
"39","TC0100007841.hg.1","CDCA8","55143","cell division cycle associated 8",-0.159033282251868,5.09423876078429,-0.541564259700309,0.593842125417291,0.999961860951797,-4.77227836350316
"40","TC0100007858.hg.1","UTP11","51118","UTP11 small subunit processome component",0.327441082149353,7.56087856493673,0.711824406307532,0.484439281763388,0.999961860951797,-4.7317712305689
"41","TC0100007943.hg.1","RLF","6018","rearranged L-myc fusion",0.244007403999335,7.35220331530383,0.650235204198467,0.522620088132235,0.999961860951797,-4.74761571425205
"42","TC0100007949.hg.1","ZMPSTE24","10269","zinc metallopeptidase STE24",0.144381452924817,8.98234618009103,0.387905725738541,0.702006073939293,0.999961860951797,-4.79976115376783
"43","TC0100007954.hg.1","SMAP2","64744","small ArfGAP2",0.256102124806564,8.43348650354516,0.720774242155336,0.479028857668061,0.999961860951797,-4.72935846698123
"44","TC0100008012.hg.1","GUCA2B","2981","guanylate cyclase activator 2B",0.0984773053409738,4.59809605124207,0.330610026131518,0.744228507049576,0.999961860951797,-4.80773942625928
"45","TC0100008033.hg.1","ERMAP","114625","erythroblast membrane associated protein (Scianna blood group)",-0.194607904217679,6.50525180218135,-0.292865072961439,0.772511475416684,0.999961860951797,-4.81231152826538
"46","TC0100008057.hg.1","CDC20","991","cell division cycle 20",0.296127069522697,6.90038517139317,0.896951330519819,0.379954814455476,0.999961860951797,-4.67632734578243
"47","TC0100008081.hg.1","ATP6V0B","533","ATPase H+ transporting V0 subunit b",0.0796529177969347,8.06381508908425,0.311536231102849,0.758477471253517,0.999961860951797,-4.81011801368076
"48","TC0100008101.hg.1","KIF2C","11004","kinesin family member 2C",0.0737209521905715,4.81807470843553,0.167183821143449,0.868831466337498,0.999961860951797,-4.82358044951445
"49","TC0100008132.hg.1","TMEM69","51249","transmembrane protein 69",0.0850336667977842,7.44735531615833,0.193754067700881,0.848238053736844,0.999961860951797,-4.82170783521108
"50","TC0100008150.hg.1","RAD54L","8438","RAD54 like",0.155683186808464,3.87797483024265,0.477368224969165,0.638051106041183,0.999961860951797,-4.78482783065227
"51","TC0100008193.hg.1","FOXE3","2301","forkhead box E3",-0.0279133487071475,6.10672626791815,-0.0607034918820814,0.952171740089953,0.999961860951797,-4.8283248468376
"52","TC0100008260.hg.1","CDKN2C","1031","cyclin dependent kinase inhibitor 2C",0.127732335686443,6.27029879181176,0.474271954298116,0.640220567296964,0.999961860951797,-4.78539462517779
"53","TC0100008308.hg.1","ZFYVE9","9372","zinc finger FYVE-type containing 9",-0.306785189304839,6.36261358622962,-0.514644661393414,0.612197868245719,0.999961860951797,-4.7777255452831
"54","TC0100008321.hg.1","GPX7","2882","glutathione peroxidase 7",-0.0352056559484692,7.62449754578786,-0.16748621671186,0.86859652529604,0.999961860951797,-4.82356068106707
"55","TC0100008332.hg.1","ZYG11B","79699","zyg-11 family member B, cell cycle regulator",0.126978421765546,8.57209239496102,0.29254459531513,0.772753073737623,0.999961860951797,-4.81234801159995
"56","TC0100008341.hg.1","PODN","127435","podocan",-0.506254581288945,7.28546049650071,-1.69633962507349,0.104658172439103,0.999961860951797,-4.32232837858909
"57","TC0100008496.hg.1","FGGY","55277","FGGY carbohydrate kinase domain containing",0.101058254903434,5.08481374976119,0.257600202692568,0.799233301173313,0.999961860951797,-4.81608927421842
"58","TC0100008554.hg.1","USP1","7398","ubiquitin specific peptidase 1",0.239935796855776,6.71778213641193,0.479253767497187,0.636731590661109,0.999961860951797,-4.7844809251633
"59","TC0100008564.hg.1","ATG4C","84938","autophagy related 4C cysteine peptidase",-0.10032956330606,5.4345345507699,-0.182574293808014,0.85689036154106,0.999961860951797,-4.82252918747726
"60","TC0100008584.hg.1","ALG6","29929","ALG6 alpha-1,3-glucosyltransferase",-0.268263488102623,3.61360008859504,-0.540732595512865,0.594405153463241,0.999961860951797,-4.77245062497665
"61","TC0100008591.hg.1","PGM1","5236","phosphoglucomutase 1",-0.382413095410945,6.98448791018763,-0.987130458160998,0.334862858922825,0.999961860951797,-4.64525114762697
"62","TC0100008594.hg.1","ROR1","4919","receptor tyrosine kinase like orphan receptor 1",0.484877694340252,4.37184070239627,1.89381171041135,0.0721670219559624,0.999961860951797,-4.21271360183746
"63","TC0100008602.hg.1","CACHD1","57685","cache domain containing 1",-0.0600087528427196,7.44093474685874,-0.159186138664555,0.875049572644289,0.999961860951797,-4.82409036755762
"64","TC0100008607.hg.1","RAVER2","55225","ribonucleoprotein, PTB binding 2",-0.0197283473073977,5.26642082821368,-0.0503150246027636,0.960348828640335,0.999961860951797,-4.82855056546548
"65","TC0100008620.hg.1","DNAJC6","9829","DnaJ heat shock protein family (Hsp40) member C6",-0.0631935136741797,5.10675997809663,-0.159571831095578,0.874749507700939,0.999961860951797,-4.82406634771438
