"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006486.hg.1","AGRN","375790","agrin",-0.149183909667769,7.55398110485356,-0.379935251736192,0.707824616386835,0.99983808276211,-6.07674969244788
"2","TC0100006683.hg.1","HES3","390992","hes family bHLH transcription factor 3",-0.065299183614469,5.56327776218568,-0.158233906948036,0.875790482087122,0.99983808276211,-6.13621157913633
"3","TC0100006725.hg.1","PER3","8863","period circadian regulator 3",0.357090848597947,6.92488269194594,1.34649897376499,0.192555249335844,0.99983808276211,-5.28019797000465
"4","TC0100006729.hg.1","PARK7","11315","Parkinsonism associated deglycase",0.0838382980005115,10.0095415300691,0.227889549500136,0.821945465256416,0.99983808276211,-6.12277673645518
"5","TC0100006773.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",-0.590306771671575,8.75438891972164,-1.85315163659548,0.0780246093657326,0.783217479776492,-4.56303182364929
"6","TC0100006787.hg.1","PIK3CD","5293","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",0.046990169219181,7.24356456086624,0.131463411943895,0.896665266068932,0.99983808276211,-6.14008885136127
"7","TC0100006818.hg.1","PGD","5226","phosphogluconate dehydrogenase",0.516219731441037,8.75140584918499,1.84235687729699,0.0796478839610124,0.794762290386826,-4.58007046867152
"8","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",-0.0104856865371756,7.44542683283877,-0.0372298954143867,0.970654804892176,0.99983808276211,-6.14804101077912
"9","TC0100006931.hg.1","PDPN","10630","podoplanin",0.220070305870129,7.81082235106982,0.617329419555594,0.543681311094992,0.99983808276211,-5.95979879095186
"10","TC0100006954.hg.1","KAZN","23254","kazrin, periplakin interacting protein",0.0507815398752154,7.67414574371428,0.167535973557792,0.868557868761789,0.99983808276211,-6.13469697579008
"11","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",0.579837831273078,7.21997767918669,2.49377671837375,0.0210974825806733,0.445063532059251,-3.44108086056058
"12","TC0100006999.hg.1","FBLIM1","54751","filamin binding LIM protein 1",-0.566339647166048,7.2600829680634,-1.18638562188944,0.248773940333689,0.99983808276211,-5.46801317994573
"13","TC0100007184.hg.1","OTUD3","23252","OTU deubiquitinase 3",0.212749355096952,5.0623864816418,0.649670726502918,0.522977556138296,0.99983808276211,-5.93969466437809
"14","TC0100007206.hg.1","CDA","978","cytidine deaminase",-0.352249373924669,7.08267452938526,-1.00354161594827,0.32707078605679,0.99983808276211,-5.65699161299416
"15","TC0100007240.hg.1","NBPF3","84224","NBPF member 3",0.657667501608787,8.55737775562176,2.59438146762489,0.0169572421525891,0.412674899132384,-3.24812357256064
"16","TC0100007268.hg.1","CDC42","998","cell division cycle 42",-0.606358249994168,10.0115494452557,-1.10032058932472,0.283697313743534,0.99983808276211,-5.56044914340866
"17","TC0100007326.hg.1","RPL11","6135","ribosomal protein L11",-0.166130986413634,10.8077681591099,-0.445615401855973,0.660454049367948,0.99983808276211,-6.04984320892219
"18","TC0100007344.hg.1","PNRC2","55629","proline rich nuclear receptor coactivator 2",-0.00815246596189567,8.9905333165878,-0.0222881866728699,0.982429368978292,0.99983808276211,-6.14848606512634
"19","TC0100007370.hg.1","RCAN3","11123","RCAN family member 3",-0.297365797021329,5.96109926403574,-1.13449209860404,0.269425297326027,0.99983808276211,-5.52447910522039
